CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30146|FIZ|101E|Physics I|Abdurrahman Savaş Arapoğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30147|FIZ|101E|Physics I|Abdurrahman Savaş Arapoğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13, Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30149|FIZ|101E|Physics I|Mehmet Cem Güçlü|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31, Ayazağa/Merkezi Derslik Binası-A32, Ayazağa/Merkezi Derslik Binası-A33|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30150|FIZ|101E|Physics I|Mehmet Cem Güçlü|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A34, Ayazağa/Merkezi Derslik Binası-A35, Ayazağa/Merkezi Derslik Binası-A36|Pazartesi|09:00-11:00|18 Ağustos 2025|FIZ
30151|FIZ|102E|Physics II|Nurcan Doğan Bingölbali|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30152|FIZ|102E|Physics II|Nurcan Doğan Bingölbali|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A13, Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30153|FIZ|102E|Physics II|Oğuzhan Gürlü|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31, Ayazağa/Merkezi Derslik Binası-A32|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30154|FIZ|102E|Physics II|Oğuzhan Gürlü|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A33, Ayazağa/Merkezi Derslik Binası-A34, Ayazağa/Merkezi Derslik Binası-A35|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30156|FIZ|102E|Physics II|Ali Gelir|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101, Ayazağa/Fen-Edebiyat Binası-D102|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
30158|FIZ|102E|Physics II|Ali Gelir|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D103, Ayazağa/Fen-Edebiyat Binası-D104, Ayazağa/Fen-Edebiyat Binası-D105, Ayazağa/Fen-Edebiyat Binası-D106|Pazartesi|15:00-17:00|18 Ağustos 2025|FIZ
